summonerName,overallScore,totalGamesPlayed
I smoke menthols,49.17597296,4
alalala,60.73717865,3
blue harpoon,55.72311619,7
Tsunami Xavi,70.30702093,10
IIIIIlIIlIIIIII,76.28840284,1
DJtoilet,44.7843198,11
Leeroy,66.24474562,6
Alcove Prince,30.24449276,4
KatouMegumi0730,67.60925406,1
toomen insideme,70.69614138,10
Soligo Fanboy,57.21528834,41
RAHEEN1,53.71537243,19
Tiffany Dang,66.28301608,20
NoChatBtw,50.73581566,7
xNewt,49.74765978,9
Levi Good KlD,61.61592159,19
WX Irelia1957986,56.45017329,9
Miraculously 39 ,60.24447431,4
200 Hr Work Week,86.88736463,4
TuTu OwO,40.96624777,12
2vital,24.86678335,2
MAD Carzzy,72.66697933,13
GJ MY BOI FATTY,49.12800644,9
Quinn XCII,43.36395346,9
Izawa Shizue,25.57536481,2
dreamerFP,78.28122004,2
Chiral,89.85363848,5
Téd,34.34644821,2
Nice ju9,76.9558307,2
AlienZombieNecro,50.67310132,7
RedFidgetSpinner,12.2363759,1
DontBanYasuoPlz,60.91087804,13
Buffed Up Rico,36.48033884,3
Shaùnz,38.83613661,10
Au Donte,46.01985537,2
Feeding Vayne,48.22469657,15
Suoray,61.11554498,8
Leblancless,114.4676487,6
smol suport,29.30672443,3
Jiuzheyangba888,47.54226652,11
ily daddy,39.45812713,9
Grinzzler,36.66688847,14
McTrump,83.47207589,3
kxkid18,54.86132629,9
SniffNinja,32.42383415,5
Stibi uwu,76.23210433,7
veadead1,35.30112777,7
Best Mid Garen,56.85379347,1
Circas,41.14003863,2
Not Dead Today,57.06483464,3
Aerof,68.9767623,6
Papi Zote,54.79618127,2
Grilotrix,44.2214982,16
Wood carrier,81.70785167,3
LiFu,50.98363253,3
KennyLikesPizza,68.1860865,3
RNG Trashuo,6.934198523,1
pupnewfster,9.946094837,1
Vaalen,48.50293969,8
Moehrke,7.409835451,1
Credenza,91.26928086,1
Tilted JG Main,135.4809947,2
onlyjangle,57.4860107,1
SZA Kush,85.29000175,2
Antonio Vivaldi,14.46043432,1
grnlefboy,110.9801876,1
tenticklesˉ,50.33095148,6
K4T4,58.57623507,5
Mister Baker,53.25651644,3
xekaB,46.14592923,2
Pray2RNGesus,147.4622,2
LOGICAL PLAYER,79.49387776,4
me hoe,59.85777737,8
FishAreFriends,38.15724561,2
Applause,33.30376202,1
lIlIIlIIIIlIIlIl,42.18311468,6
Cbrzykcy,45.92470805,4
ThunderQueef,43.4139483,4
Aglow,52.70677842,4
Lunarly,64.89439039,9
askfqwoqw,41.86070549,5
Booby Trap,66.89656773,6
CowfunW,62.63253025,3
Zane of Zaun,30.08491486,4
75 dog,36.03917232,7
Twitter Drama,29.30057667,3
arenfell,43.6260667,3
Fïsh,40.75776622,4
Gema,52.90514514,3
LunchBoxKen,48.1492753,7
Adlym,47.16459402,2
Doozle,3.86370935,1
ELO HELL DOG,46.484665,2
Healken,68.11090406,2
30624770,87.1455321,2
ErikaMomotanii,68.96339958,5
Reaver King,82.04261209,4
Hiccupboy224,56.78809884,4
Condemned One,113.731124,2
Waffle Wheel,87.24467884,3
Lao shang dan,121.9144093,3
MeN4Idiots,37.28610829,2
About 10 Inches,43.79220782,2
the halal ,21.8815184,1
MarzyYyYyY,66.95596333,2
NoobSlayer2020,71.72373622,4
Yomi Prince,75.02149236,4
Toxic Aurora,54.81741461,1
BIGBOOTYBUGATTI,28.29662057,2
advwjfofv,40.18876053,1
Blooms1,28.67882476,2
Hypér,47.41728678,3
Augh,54.3282724,1
elcëy,70.48538002,2
Sakùzyo,101.7413676,1
Ńevir,90.1541583,1
ChocoWaffles,32.46711772,2
i am baby,26.99008563,2
Vintage Huh,19.5485967,2
Glory Imperator,50.38896295,3
Julo,93.98236549,2
ToastyAlex,89.12578474,2
ChickenMobile69,64.85637469,3
593111s,56.5391557,2
Laynx,70.26886593,3
Bolubal58,96.78779694,2
Wheres My Weapon,117.0957228,1
kataract337,102.5278579,1
EzreAlan,137.4818041,1
Macu BET,19.54383169,2
Yinasha,43.70093826,2
PMFORBOOSTXD,44.96168743,1
Robi0106,36.84840274,1
Taste 1ike Red,97.11774603,2
marshes,46.51744144,7
q8iobo,49.89917453,1
TheAwa,47.88469546,2
YQoQY,54.1213528,3
Lonely Sea,83.29618416,4
Rasino,46.83756248,1
M S,41.70556974,3
Vesperus,12.42625634,1
JukeMaster17,132.3682404,2
huffalumps,46.45830182,5
amp,15.00049232,1
Dejan,71.3364895,1
Chillest Gamer,43.74524271,1
Summoner SpeII,57.35339264,1
intimaçy,49.00663062,1
CipherPeonDivine,67.10849685,1
dean fanatic,32.58842431,6
Solis Occasum,27.39510542,1
Lillia to Chally,25.54447429,1
Wheni was in bed,61.52854961,5
Supernatural14,42.49925689,5
King CharIes,56.47706541,5
enrutcoN,91.90487733,2
LOWHATER,80.04491269,6
Whats up NA,101.0582071,1
Quas4,63.17732847,1
Wo Shi Ruo Ji,47.19688925,5
 lªmp,42.97172098,2
Cornbro420,66.08552279,2
KataudeNA,27.97826563,2
AsheinMalph,22.77328858,1
tkL JangMak,28.7763064,1
slurpee2,33.3076963,1
The Moist Whale,8.647453293,1
git log oneline,8.027132974,1
Tumble Bee,5.311326921,1
turboblaster,10.00535632,1
ScareMagic,77.15008991,1
WheresYourJgNow,69.18881262,3
Laneless,48.25800965,2
Yilo,17.19206925,1
A Yuumi User,34.8330457,3
ƒaithless,44.77747327,3
Aøra,54.6966698,1
ômegalul,49.71176698,1
PeskyPenguin24,67.1847265,2
MolesterMoose69,60.25833149,1
Orbpawgio,69.42511729,3
vroom to moon,79.00081802,1
ACE Pilot Frousa,84.84066457,1
monyqlzjk,48.51692281,1
oxqpzxcl,25.02557813,3
terryta,96.79475287,8
SongAaron,91.14000729,1
Ryan Choi,81.68574906,4
DaNuNu,78.35762924,1
dream go lpl,87.76937003,1
MagykalDino,69.67479155,1
TectonicScam,31.19200314,1
WhatDeNani,20.13566043,1
POTATOOOOOOOOO,44.48314634,1
yoo seungho fan,38.83598284,2
Undead Frogman,22.54569929,1
Bone Machine,55.33782975,1
xRustySpoon,121.8449126,1
i dontdodge glhf,52.5835036,1
fisheld90,46.99817374,2
DabinPenguEmote,49.36119754,2
Danwiththeplan2,79.63250224,1
ah ji ta die,68.69596438,1
SoloMePls,44.5418076,2
ElectricSaint1,45.32067659,2
 Nov 25  ,65.50845065,1
Bie lai e xin wo,47.59954577,1
akte,58.70865983,4
 VRD,27.80435817,2
woodwoodgood,16.35034999,1
lilrich96,22.12699253,2
yuri uwu,64.60661208,1
RATIRLs FANGIRL,39.0624088,7
Ohgi,68.00318181,4
wickyrickyy,67.56627529,1
MapleLeafs,68.14163323,1
3 nipplez,66.73556392,1
NiroZiro,45.94224598,3
lil crumb,127.0714776,1
V3RIDI4N,28.29451627,1
mit legacy,60.02972269,1
Hikåri,57.75069903,1
iKickBunnies,50.29371332,7
u big mad,103.6247374,1
nazar boncuk,45.58638012,2
Jënny,80.56357664,1
kha me daddy,54.42183359,3
CpryusSr,37.34909436,3
Gisepa,50.23193423,1
kscphdtc,90.05306799,1
Jawshy,57.25892487,6
Not real Jihoo,74.764857,1
8kkc,27.03662748,2
croissant5,52.53086298,1
inhuman erection,53.98173253,1
DRX Canabbis,54.77050821,2
AcroMorph,51.18362878,1
CyberFang,68.0568291,1
cool dude 2002,63.84702663,1
Butterrs,73.39212774,1
fanfanqqq,136.6757003,1
Gorica Fanboy,47.38455981,1
LIKK199,18.48551454,1
GwendolynuWbIlN,16.10074699,1
SALTISCOOL,24.49820203,1
2Girls1Snake,22.72099668,1
ANTI M4GE,10.39746264,1
Alura x,13.92399542,1
ChickenNuggets82,26.31044558,1
Poiuutikuo,24.25385215,3
FlonJr,34.16269186,1
Draven4,55.70944937,1
Angormus,31.02214549,3
l see Iight,47.19230616,3
zai jian axian,52.58060236,1
NamedMyDogSusan,11.50499379,2
QueenDucki,68.98711827,1
Alexi0001,184.7169341,2
Daddy Clake,53.96465601,3
Koopy,139.5162205,1
Shirokane Rinko,80.00113639,1
SilentSpider,26.71556763,2
SIR AKA,49.54715511,11
Predator27,57.15969224,5
Nop3,22.77851868,1
TakoyakiQAQ,42.94940577,1
R3damancy,33.3632805,2
xudxin,35.47759119,2
kbqkfnq,27.34467813,1
SYR4Dudu,71.73097665,2
Galactic Chub,68.97912568,2
MeIody,55.16336879,7
Kite It,35.95781686,1
silentdisgrace,38.50031507,19
Pakup,18.10728614,1
Bubbÿ,25.68032336,1
whatvickyy,12.04340966,1
Etheréal ,11.79066169,1
Mikyu,33.04007418,1
Auraina,24.26564114,2
Kusurou,36.34009967,1
CrazedFool,48.94091869,21
MikeGlizowski,23.0053943,1
WhiteCat Sistine,56.11474974,1
RainStop,40.47909581,1
LeVoracity,48.37011928,1
ImOutclassed,28.71447364,1
TSM Trashman,9.981725554,1
DualTwin,4.933696719,1
Lux,47.43324419,3
seanseanseansean,54.38924099,12
nomoreNAleague,52.69689101,13
pjcs,55.48054686,4
twitch pixeldrum,42.87085912,22
AmmoKitty,31.33887253,2
greenleaf man,78.7357512,4
NoMoreTopCarry,76.61254664,13
BRSH,53.46751871,8
Can You Imajhin,51.10307855,3
met ü,62.57188924,7
Occasus,68.38954799,1
CaNTt0ucHdIZ,39.8872443,1
MaskedPatel,62.15254114,2
KosherMoose,31.06379116,2
Jiekaii,49.31582021,1
Kinda Eric,52.9928995,9
AD Kappatron,101.2671635,1
chillbx,46.34964278,5
bu kai deng,40.31921672,7
Ur Adorablę,51.50939678,10
TheeBeast,46.73027393,3
Narthen,29.28476511,5
Koic,47.38961504,7
DexteriousDee,22.56266598,2
xBenjin,69.13101714,4
UKP Kijin,59.11084491,6
Makimakima,42.85273565,6
GG 0k,55.3204046,3
Knîght9zz,41.27579264,10
Ogilos,79.81690701,4
sb fuzhu,30.17880556,9
BoisterousBobcat,41.56068679,4
DomZe,38.52100831,3
RNG wind man,10.70499213,1
91Badwomen,13.10728116,1
Devin  Molly,10.93750982,1
aomimiQAQ,6.93694476,1
xx Iris,19.63096269,1
sys,52.3724631,1
homedog360,59.42355418,1
Eliasey,44.98740549,2
hao yun bao bei,39.61573783,6
blueSlide p,54.66517001,5
Trash Cømpany,43.21885631,17
The Mörder,42.93969497,18
Time for War,77.26901534,9
Xesune,116.0762911,2
Myu,34.07907838,1
bardboy18,65.12026883,1
Grêedy,61.15656657,1
Flêtch,49.91194236,2
Distressing,60.6804219,1
InvasiveMuffin,17.17762863,1
larnce,45.91451736,2
Pornstar Lee Sin,13.98509822,3
Extanea,46.2881763,3
Karxx,33.5248952,2
cheduipeiwan2,79.57226105,1
cheduipeiwan5,124.8572448,1
cheduipeiwan3,77.49281233,1
cheduipeiwan1,47.63824786,1
cheduipeiwan4,61.56632204,1
Catˆ,38.47011665,1
Sufyi,30.440692,1
Hi l am Asasin,68.50015903,2
ChicagoXiaoUZI,43.09030898,1
dirty Anduin,85.10304233,1
Just hit nexus,78.86800471,2
kim chaewon stan,33.03791948,1
dduk,34.05940246,1
Polus,37.35682131,1
TPK Cody,15.39785892,2
ExCarry,71.01815833,1
KH1,35.65138806,1
FateFaith,35.60864869,1
Korean At Heart,39.54911148,1
IvaMandic,58.77755956,1
The Omnivious,21.35600578,1
VapeOooooN,27.92091294,1
LoveNote,23.38879927,1
DannyBigPlay,18.99860172,1
ash1029384756,36.29007496,1
BootyMane,65.96244343,1
aisbell,85.56671684,1
trevsdatrevs,5.502016024,1
Acd14,21.30748097,5
gtjocker,12.77636589,1
RoseStØrm,10.94342326,1
Reaperpanda,48.26925697,1
Yousuke,58.96926047,1
TAKO12,93.67500366,1
Cistus,121.0290784,1
JJooNie,135.288878,2
JoygGv,82.42167237,1
NiceeLife,108.2306044,1
Hue Dinny,50.93151661,2
Dąrko,114.4687108,3
Me 6,72.18846983,3
MXJULY,61.63680818,1
WALAO,54.67157672,2
Young Troller,55.02108984,6
Yellow Flare,89.02669233,1
ReginaId,99.79314042,37
officiadil,74.61765408,32
BeastLi,54.98140074,14
JKapplesauce,44.43955986,3
pfrzj,37.72502857,1
lollola,49.59075128,3
ilikeorangejuice,69.29798378,1
Ilikeapplejuice,32.56254885,1
Jartzy,89.58553595,1
PewdiepieBROARMY,58.86340518,8
frésh,40.4580061,21
Rajang,15.61004068,1
IronYaoiBoi,13.98491987,1
Unmei No Hi,32.29979669,1
Section 245 GAAR,4.573744213,1
limpzz,8.574309273,1
Truly Andrew,63.46207332,2
Rafikiii,58.42033396,17
MMT Skarner,50.12678843,1
AltF4Rawr,81.628833,1
Kitty Senpai,46.03523867,1
GreyXiL,96.83508803,1
Ćock,38.64428274,1
FelixCheats,30.46585876,2
Soju4,58.08209258,1
eingyi2,12.94584234,1
Bronze Matt,18.75745818,1
Bubble Boy,27.00759232,1
I Ate The Roach,36.62484324,1
Huggable25,61.18578579,6
priscilly,49.58274256,17
WoShiAomimi,52.60806222,2
Rivare,74.34205874,8
RykoZin,6.669229948,1
god48,104.314524,1
J3XD,69.7522581,2
Giannio,55.356209,4
NaiChaQuBingBing,44.08724596,1
Tëlëtubbiës,31.89688163,1
Fiestå,32.5347029,2
Ok Strategy,65.72565145,1
Baby Shark Dooo,48.16498441,7
clearloveby4396,27.72242961,1
1m not boosting,13.62972546,1
Socrátes,20.16330697,2
BBQ P0RK BUN,25.82874357,2
liliu75,10.85865513,1
Thaddeus666,6.724442391,1
Daweo,104.1192567,1
Haglol,96.59930327,1
VlNØ,87.27220594,1
Izobomstar,68.10556872,1
TheBlackerBerry,101.8269901,1
Nøt Important,78.93748501,1
UselessWiitard,100.366482,1
VI5EHVM9dH,41.83378394,1
moondrops,24.70201074,1
Alligator Gang,4.265182829,1
Nwestneat,15.62514231,1
Delicous Bread,10.09654161,1
kitten1v9,54.55669119,11
Aqua16,1.978223345,1
 julie senpai,9.266983233,1
ZeroFudgeZ,5.055293248,1
hoopyfromspace,8.513953888,1
Tãtsuya,3.336126371,1
Like the Birds,75.16243151,1
DandyNam,71.24037311,1
oooa,66.73494839,1
Sun Hashira,92.42429721,1
goldenboy667,50.93141629,1
SpacemanSpiff31,55.97234932,1
BVRN,7.082782401,1
Jolson,10.99306808,1
JB Nomad,8.93268081,1
JB Eevee,11.82513278,1
GIGAMAGNO,78.22979565,12
So Low Timbo,33.06095594,1
ENDlessAAA,31.42536317,1
Lohanie,42.8158397,1
BeastlyMcBeast,79.84283442,1
TheMonkeyMan1997,14.93736422,1
ThaumCraftMage,17.92494061,1
GrimLegate,11.8832912,1
Good Kid AJ,8.514050435,1
The Bachmeister,12.70235858,1
Kïnh,93.76554944,3
TheNextGenTroll,78.10834166,1
16 NAKED COWBOYS,95.98082585,1
nanreik,105.7424807,1
Ur Only Greek,60.72792001,1
blow up the adc ,68.16157337,5
TheSether,34.39535107,1
blackout tft,39.74032813,1
Samchune,34.24124598,1
Weapon Meister,88.43515284,1
Taste of Death,57.94124504,1
KosherPotatoes,91.25185826,6
SEX HER,14.90424036,1
jucos87,64.42790462,2
Apåthy,18.1784561,1
I3lack Thunda,26.75060058,1
TranceKing,24.16847789,1
HIKARI KIMISHIMA,42.5262097,1
OffHenry,60.82569684,1
Gromp Hellscream,45.0963279,1
Rinj von Scoot,39.71252986,1
Yashichi,57.65506784,1
Ednaldo Pereira,50.43966992,1
Vladmirus,21.68145476,1
Boostedbonobo48,13.33889082,1
Jay399,33.81090776,1
Alairy,23.59759693,1
BiG StOmP,27.90748896,1
Bazingaa,33.37779319,1
IAnLegend,48.15081423,1
Aestival,20.39424562,1
fUbVuWallis,13.42107842,1
Hanabiko,62.45596973,4
yellow hearts,14.11998678,1
eminu,21.17516786,1
FusionBack,24.3071644,1
Sáki,25.29442217,1
TwoTaps,27.13094131,1
Courage The Dog,50.47937175,1
ryasueo,26.12802904,1
DeltaWulf,38.59542345,1
Crickett,61.83726725,1
Berus,51.98516372,1
BigPumper7,29.6997932,1
iUsed2BeDiamond,16.92270776,1
Resident Noah,34.11355353,1
European Carry,14.61902335,1
RoyDblob,9.175036272,1
Drywallindave,8.372098129,1
tWdxTobias,13.06612753,1
Finessed LP,45.95279122,1
ImBadAtYasuolol,45.705583,1
big thought,14.42403055,1
Herz Analog,7.774815931,1
xSKULLx,18.24685944,1
Ayrys,40.22820321,1
Dolf,16.04438654,1
BellesOlT,21.2858424,1
kiuubae,25.03002064,1
Tomerton,13.3188755,1
Reconquista,28.81547237,1
WeeeeeeeeedDude,33.11547034,1
6lack Sinnerr,8.372098129,1
Shinmen Takezo,110.465154,1
DESPAIR NO HOPE,64.01589886,2
SYBOLIC,32.21288643,5
DRX Chowy,48.67784133,3
GankedBy Bush,73.16669335,12
reformed divine,19.50741743,3
Deweyyy4,34.69335583,1
vStarzzz,36.45538284,7
L4W,46.03604547,10
Strawboobies,104.5037933,1
Vomit Account,41.03179954,6
andrxmeda,42.43146767,2
jgsupdiff,86.42909847,7
Jeff Top,49.85471672,2
Chouhuazì ,48.76377131,1
4568,54.59490973,24
is it a jg gap,59.56963399,5
11 y o Jungler,62.29715646,1
xiaoweiba,57.96012294,5
ni kan wo,69.15925556,6
lm Ym,75.22241202,2
Miragee,61.49498841,3
HecaJimRobs,48.04980892,2
Blessed by Dread,35.35118361,6
clowob,65.79630295,9
F0D,56.31431645,25
Into ur body,33.23681507,4
zhong men du1 ju,53.00487479,5
Xixi Watermelon,53.85356572,5
dśb,55.0395787,7
Lcsalti,38.1072758,3
hairy poter,50.59520055,2
minjuˆºˆ ,40.37753148,3
Assassined,34.5669709,10
Pass JG Kiss YOU,52.67762881,4
KevinS ur Savior,50.82630445,5
Peja Stojaković,54.49959777,12
nexusdoug ,51.22642041,12
Jordeeno,34.03201106,3
panda1,60.21962278,1
nf3u2n,40.61286446,2
Fighting Spirit,26.21276612,3
Scouts Twitch,51.153957,3
QiuTianDeFeng,14.22461439,1
Akame Blades,32.68909852,2
NoraBestGirl,54.93497274,2
Im So Curious,75.72339932,6
  Kint,55.23905823,3
Infextionz,48.78984741,8
WeMeasureinFEET,55.85981452,2
xsxsgh,39.26061629,5
BUNNYSENPAIXD,54.42302041,1
999 Sword,89.22138551,2
enerels,84.52910036,4
Special,50.73368022,3
Viy,38.72768185,10
Gingii,77.63967686,8
Snowmaker,38.65162815,2
MÇÐØÑÅŁÐŠMĄŃÄGÉR,67.0599995,9
Larsimus,39.56102118,5
TurnbackTheclock,5.904413569,1
RLAero,58.11753262,5
Inosuké,69.64428714,2
Fancy,59.39634356,5
MarionetteSaisei,59.78285941,3
Spladaddy,47.57195855,11
77luka,89.83025685,7
BorrowedThyme,48.63188246,2
Le Nugul,53.46278548,2
TSM Mobility,44.85834462,4
º  T E M P O  º,51.03035784,4
Soma Yukihiraˉ,57.9460856,7
WhiskyUp,67.05547982,1
Plum Soda,249.6567691,1
illuma,58.16779985,3
why meee WHYYYYY,69.95593437,7
Yusûf,50.27544013,5
Zearth,84.30589593,16
Do Not Wake Up ,59.28508326,26
WontBeBanned,17.17624038,1
StinkLord,47.92188962,4
DieCryLaugh,54.84784539,5
VX H21592970033,23.81946747,1
NoSlipKnot,57.24244453,2
Burnïe,56.1971404,6
AllDayBro,70.06115486,2
mabudachi,46.99671024,1
Mithøs,81.0010436,3
bitsu,50.2713651,1
TheKids,67.97283975,2
 permabanx9,111.3886142,1
Some Pressure,52.71693734,2
The Káng,66.07495109,1
5 Man Ward,108.0782633,3
WorstBakerAfrica,42.66896222,6
1218199,49.58653599,2
Yousei Teikoku,70.68940227,15
Gé Jú Tài Xião,51.06782438,2
ttv synderal4444,70.11180526,2
TWITCHTVDÓUGHZZZ,55.84566615,12
Rªn D2veloped,60.98652212,9
macro is micro,18.74098511,1
vKxCecilia,50.21255924,13
so gone,43.40163521,2
williamhammy101,53.89425925,16
Sky Troops,63.76267944,6
idol,96.14839594,6
Kwangx,44.75030903,1
Heimerdoodles,44.95103124,5
iiArysseii,29.78878666,1
UWÖ,23.31261762,1
Crunchyfied,50.45928281,8
GRF Tarzân,13.26060693,2
Misha Eats Ass,65.30967501,6
Doubtfull1,40.42365609,3
ADD TO BUY ACCS,42.65529271,2
Pure Vessel,54.8193293,2
EQWQRQE,27.00056552,6
MasterMonkeyNA,106.6803803,1
KangarooKing123,108.3995433,6
Kha Sicks,39.07953317,10
WX wangzhezhilu3,54.58191627,4
bosco,26.70954007,3
BIoôd,98.95545779,1
Hayatei,70.48639582,4
Sínatra,59.87388179,5
Lynne,53.7272024,1
OmulFinn,72.76200759,1
Zane Prodigy,77.99526156,8
v n,49.67910138,8
ıda,57.93456847,2
her0asd213,33.45984802,5
Røøse,48.25294315,23
FIVIO,16.26174532,1
sadb0i,44.06758181,4
ait eung uh,42.20759623,5
xxxX OuO,49.79556271,5
strawberry54,59.95080622,9
Gold Inferno,35.51137013,8
Rhinne,44.74191734,4
Silynn,69.29904047,28
Crossbow Rat ,69.54413134,9
11010,35.41587358,4
Tea plant,66.84971361,2
Unstoppable2019,42.44983627,18
Sgt Frog,44.16144165,2
MK Skanito,44.9295126,2
ADKarry,42.14287692,3
milala,47.31859363,5
Bassoonist,57.35952272,15
HolyShines,62.42229306,5
Nan Man Ba Wang,52.17293894,4
OrphenSky,75.18209701,2
Vasyl Ivanchuk,27.84442401,3
Dä Mountain,32.99489592,1
VXPaiguzzz,19.08042929,1
Beeach,65.62822218,1
PAPA FILTH ,70.83853252,7
ayyImaozedong,53.92499833,3
Saikano,81.74108972,3
MMMMMMMMMMMMMM,52.18805893,1
rax,76.02500668,13
100T Covid 19,32.57690133,2
JDG HOT RUFFLES,39.26293872,6
Oschar,60.96134757,6
A Loving Panda,52.08435451,12
Weenie,26.19805745,2
LaMilala,68.16553972,5
Friend of Christ,45.33391892,9
OX XO XO XO ,80.79859058,2
I KillMyGrandma,19.46320148,2
Serzo,83.74501339,1
ÕuÕ,46.29240354,6
snowwobble,75.29704333,4
LoLRcon,89.05214474,4
Voki,65.52858585,8
minor 7,72.23239008,4
emotional adc,87.09397037,3
ARocking Carry,47.83780856,5
Striken,64.16013808,10
ONLYFANS FIKUWU,62.84137979,3
K1NGJAY,38.12422071,2
Ancient Veil,55.80603296,11
DZRLNE,48.44237359,1
P4radox,58.34216038,13
OmegaGJ,40.56259555,13
Kittencannon God,77.46972703,6
Which Card,40.41704545,1
Panthalon,37.00367529,8
Burp,57.0346633,5
InitialLotus,51.56394378,7
FA Heartbreak,49.56805103,22
xxxcozyboy,25.57828549,1
kill kat,41.9883083,5
The Red Book,47.24906896,4
Mr Lémon,66.17479698,3
nams0,47.28034344,8
gtqeti777,55.60141498,1
TRYMYBATSOUP,37.49386027,4
WarringKingdoms1,20.20226064,1
LOOOOOOOOOL,60.7571265,3
ganked by mental,76.54764885,7
AKM Yasaw,37.20026693,3
Sweet Ebina,71.33742686,1
Vołdemort,71.74650192,3
 ÖwÖ         ºwº,49.40567177,2
hotdog61,72.86815641,2
NA INTER ONLY,66.44921271,6
Sleep everyday,34.11691946,1
SKT ShinyRuo,80.1302693,1
         Jkˇ,67.53536929,1
Popeng,35.98362264,2
Pix ˇ,92.7842353,1
MID FIZZ MOST,19.49986612,1
IlIlIlllIlIlll,60.8235646,3
Taste of Italy,54.49247917,5
Nerf Ezreal,81.64690444,6
MaziR,68.64180403,1
Tokibunny,88.77563536,2
Mr Meeeseeks,33.09879318,6
theZALT,72.53404006,2
Stevens Pan,62.80516576,7
Bübblér,38.80605025,3
Nick Smith,60.2914874,3
Mäcro is the Kèy,22.19976345,1
C137 Evil Shaco,58.41402032,1
Still Dreamin9,67.35334897,3
not pLuX ,50.79925936,1
RtG Vwish,52.35695723,1
Elegia,58.3446161,3
FosterCity,84.39830325,4
siposhangkouu,76.1701419,4
onatvstheworld,41.40444468,5
Shayan,42.19983136,2
Korea Caitlyn,57.33338364,2
Never Be Carry D,80.31624689,2
foorp tliT,73.90768262,4
Awakeń,53.65228875,5
Deymad,28.3879037,3
DEMON OF FEAR,34.14144308,4
Why u so sweet,59.49562409,3
Dyslexíc Ivern,49.77170861,11
Yuumi BlingBling,57.11348694,1
krp fake,13.80381992,1
Pogiˉ,31.06269112,11
Love and Lies,45.74632513,8
pls win coinflip,49.19265486,2
Summ Time,30.3549175,1
Kullen,30.54337911,1
AutoSwoleKus,34.64059332,1
Chimichanga Kid,96.94383774,1
jeff506,23.10964634,4
FeedaBoi,57.59984441,5
TwTV Kinoscorpia,45.1402703,19
dummy moron,35.23666657,2
CuteCatkk,95.27407282,2
Best Game League,33.97411664,1
flame waltz ,45.03606491,2
I need 1 Sec,43.65579347,2
Taylor Is Gay,52.04053988,1
IDontWasteMyTime,64.61381439,2
Rourke,60.35334298,2
Baeyron,51.8649526,11
Hexyn,56.9387775,6
Tobias Fate,60.07841667,10
Cyanideandherpes,46.85893503,6
Kaniel Outis,75.60923617,2
Sylvan Sunrise,65.72611035,1
Lee et al,59.09253476,1
JuicyJ Cant,107.508664,1
Ðeathlock,23.64369921,1
Coggles,11.59622459,1
         Kánavi,14.69808048,2
TopLaneLover69,100.8313938,5
xypherz7,74.7811754,3
binkyfish2,49.94990092,7
xShadowStarx,105.3732272,3
ff15trashteam XD,50.46025263,7
TMC Atreus,12.50403353,1
VXX HREB2020,74.45679937,4
ks2,44.13847576,3
VooMoo,60.31906602,6
YourAverageGril,40.613608,9
951,35.34262419,8
Buff Jungle Role,21.14957972,2
GotoOne,37.04613931,6
Indigo Tide,30.55787278,2
ZL ZC,45.16356552,3
Autumn Raìn,33.43169376,2
x9 my laners pls,63.26817351,1
twtv Pyswag,76.1503734,2
Tsuyosa,47.75720452,4
Can1ne,47.42384677,1
Darius weakside,51.16202908,14
Reformed koalav2,58.20544074,11
winstxn,51.51816307,13
mop main,49.19381508,2
Mister Singed,43.6257441,11
AG CLUB Memphis ,35.01869927,8
Heisendongg,59.17562991,3
700lbs grandma,45.09456604,11
rohan v1,41.86734881,10
kockacola,48.27934325,5
KristapsTV,79.81594553,5
Bringer Of Flame,64.14253408,9
Douytv 9458969,62.07548461,5
Kanashimi2,46.03283216,2
Atoning Blade,83.65072544,2
Wan An Chara,45.52407016,4
Zella,61.27056417,1
Stevens Jaaax,42.64870269,6
haburukid28,46.56308471,5
TractorTire23,102.8960426,13
AsianSaltedF1sh,31.7863603,4
BO QIAO,38.81672764,5
DAIM,76.29195688,1
WallyTheWombat23,80.67697405,3
Fatum,73.40404481,19
FIawIess1,29.08819861,6
ªaron,64.23565045,1
tofu thiccy,48.62665269,6
FaceCheckOnBush,47.05230393,10
Justinlusita,42.87823743,9
hi me seal,128.0561864,5
Purklo,37.87371341,8
wuwuw bieshawo,26.51883126,2
unORDlNARY,53.31457698,24
K9 Spade,73.5740205,4
XQC ALPHA SNIPER,53.01406885,2
MaplestoryGMS,40.5648089,5
sdasf dfghj,64.62775637,5
xFauhst,28.07323248,1
UnnecessaryMe,47.99736542,8
Only Coco,50.49401381,9
Delìcate,62.46688809,20
Treysh2,52.31304885,13
bnujolzxdcvf,28.74850101,3
i am 5 foot 3,50.28173521,2
uchiha faker,9.631291266,1
langpiyangpi,57.17946455,4
always luv,54.21162899,3
VX lol766788,28.70418411,3
Vodor,62.159365,10
poiuytrewqas,43.65420457,8
Lawn the mow,50.81443349,4
Ragingamerj,55.65424994,15
TSM Sarcasmna,61.93818825,1
chjg,25.22301742,2
S E D Z A M A,48.78342955,7
Ashesˉ,23.81617333,2
Sczreen45,70.16596379,5
Iawliet,76.01996645,4
Zomas,60.42850783,3
Traya,37.94359394,5
hGnKennedy,64.53305262,3
african slave,70.7590051,3
cry soft snow,53.4347179,6
White GiveOvO,42.74465822,4
Zeuce,59.12872603,6
P3radox,50.86706956,5
Lv Jiang Dan Pai,23.00763765,2
W S Y W,71.89355049,12
Enginma,45.10233367,7
The Tank Man1,48.51246519,10
